trace,count
11 12 22 23 31 3,1
11 12 22 23 29 3,1
11 12 22 23 78 3,1
11 12 22 23 83 14 66 3,1
11 12 16 48 30 3,1
11 12 19 27 30 20 28 3,1
11 12 19 23 77 3,1
11 12 19 23 86 3,1
11 12 19 23 91 3,1
11 12 22 27 24 3,1
11 12 19 26 3,1
11 12 19 27 15 3,1
11 12 19 27 18 3,1
11 12 19 27 21 3,1
11 12 19 27 25 3,1
11 12 19 27 29 3,1
11 12 19 27 31 3,1
11 12 22 26 3,1
11 12 19 27 38 3,1
11 12 19 27 44 3,1
11 12 19 27 48 3,1
11 12 19 27 51 3,1
11 12 19 27 52 3,1
11 12 19 27 66 3,1
11 12 19 27 67 3,1
11 12 19 27 68 3,1
11 12 19 27 69 3,1
11 12 22 27 10 3,1
11 12 22 23 10 3,1
11 12 22 20 73 3,1
11 12 22 20 63 3,1
11 12 22 20 31 3,1
11 12 22 14 65 3,1
11 12 22 14 66 3,1
11 12 22 14 68 3,1
11 12 22 14 8 3,1
11 12 22 14 80 3,1
11 12 22 14 83 3,1
11 12 22 14 89 3,1
11 12 22 17 18 3,1
11 12 22 17 24 3,1
11 12 22 17 32 3,1
11 12 22 17 35 3,1
11 12 19 61 3,1
11 12 22 17 42 3,1
11 12 22 17 50 3,1
11 12 22 17 61 3,1
11 12 22 17 62 3,1
11 12 22 20 30 3,1
11 12 22 20 26 3,1
11 12 22 20 21 3,1
11 12 22 17 79 3,1
11 12 22 17 71 3,1
11 12 22 17 68 3,1
11 12 22 14 65 17 68 3,1
11 12 22 14 62 3,1
11 12 22 14 60 3,1
11 12 22 14 59 3,1
11 12 22 20 60 3,1
11 12 22 20 50 3,1
11 12 22 20 48 3,1
11 12 19 62 3,1
11 12 19 71 3,1
