case_id,trace
730,1 7 3
731,1 9 69 3
732,1 2 3
733,1 6 36 3
734,1 7 23 68 3
735,1 2 18 3
736,1 6 3
737,1 2 3
738,1 6 3
739,11 12 13 20 81 3
740,1 2 74 3
741,11 12 16 23 42 3
742,11 12 19 73 3
743,11 12 22 23 46 3
744,11 12 12 12 16 65 3
745,1 6 3
746,11 12 12 12 19 27 29 3
747,11 12 12 12 12 12 12 72
748,11 12 12 12 12 12 12 72
749,1 7 3
750,11 12 12 12 12 12 12 72
751,1 9 3
752,11 12 12 12 13 74 3
753,11 12 12 12 19 35 3
754,11 12 12 12 16 34 3
755,11 12 12 12 12 12 12 13 59 3
756,1 2 3
757,11 12 12 12 12 12 12 16 23 35 3
758,11 12 12 12 12 12 12 19 49 3
759,11 12 12 12 12 12 12 19 14 15 3
760,11 12 12 12 12 12 12 72
761,11 12 12 12 16 68 3
762,1 6 49 3
763,11 12 12 12 12 12 12 13 30 3
764,11 12 12 12 12 12 12 16 17 39 3
765,11 12 12 12 12 12 12 19 80 3
766,1 2 3
767,1 7 3
768,11 12 12 12 12 12 12 72
769,11 12 12 12 12 12 12 72
770,11 12 12 12 12 12 12 72
771,11 12 12 12 12 12 12 72
772,11 12 12 12 12 12 12 72
773,1 6 3
774,1 7 60 3
775,11 12 12 12 12 12 12 72
776,11 12 19 49 3
777,11 12 22 50 3
778,11 12 12 12 12 12 12 72
779,1 2 4 3
780,1 6 27 80 3
781,1 7 23 4 3
782,1 9 3
783,1 75 3
784,1 2 31 3
785,1 6 14 63 3
786,1 7 3
787,1 2 36 3
788,1 6 69 3
789,1 9 25 3
790,1 2 3
791,1 6 17 65 3
792,1 7 3
793,1 9 47 3
794,1 6 3
795,1 75 3
796,1 2 3
797,1 6 3
798,1 7 3
799,1 2 27 10 3
800,1 2 14 8 3
801,1 6 55 3
802,1 9 3
803,11 12 12 19 28 3
804,11 12 12 22 24 3
805,1 7 3
806,11 12 12 16 80 3
807,11 12 12 13 17 39 3
808,11 12 12 12 12 12 12 19 63 3
809,11 12 12 12 12 12 12 22 64 3
810,11 12 12 12 12 12 12 72
811,11 12 12 12 12 12 12 72
812,11 12 12 12 12 12 12 72
813,11 12 12 12 12 12 12 72
814,11 12 12 12 12 12 12 72
815,1 2 27 37 3
816,11 12 12 22 23 40 3
817,1 6 5 3
818,11 12 12 12 12 12 22 28 3
819,11 12 12 12 12 12 12 72
820,11 12 12 12 12 12 12 72
821,1 6 3
